WKT,name
"POINT (188.309888123497 171.391569674214)",5613.EG.010
"POINT (189.65166893259 178.260069443796)",5613.EG.010
"POINT (195.473989800034 177.16838428115)",5613.EG.010
"POINT (194.345915131967 170.290767756482)",5613.EG.010
"POINT (188.309888123497 171.391569674214)",5613.EG.010
"POINT (215.577927552092 155.729544544256)",library
"POINT (210.215055134052 124.635718605317)",library
"POINT (173.054141207027 131.027829164193)",library
"POINT (178.525354481997 162.229995960062)",library
"POINT (215.577927552092 155.729544544256)",library
"POINT (288.003790409864 153.346045691794)",computerhall
"POINT (290.874823118512 169.556546409961)",computerhall
"POINT (318.989275491873 164.342642670199)",computerhall
"POINT (316.009901926295 148.199854987614)",computerhall
"POINT (288.003790409864 153.346045691794)",computerhall
