WKT
"MULTILINESTRING ((288.519235547114 109.779411773906,285.908722593666 100.236061140808))"
"MULTILINESTRING ((285.908722593666 100.236061140808,286.272482595377 98.6686834863817))"
"MULTILINESTRING ((286.272482595377 98.6686834863817,288.193386909492 98.1192938716754))"
"MULTILINESTRING ((285.908722593666 100.236061140808,285.266793178883 97.9251152475916))"
"MULTILINESTRING ((285.266793178883 97.9251152475916,286.272482595377 98.6686834863817))"
"MULTILINESTRING ((285.266793178883 97.9251152475916,285.844529652188 96.8926787721504))"
"MULTILINESTRING ((285.844529652188 96.8926787721504,287.353745268283 95.9795619473059))"
"MULTILINESTRING ((285.844529652188 96.8926787721504,284.689056705579 95.9779293560851))"
"MULTILINESTRING ((284.689056705579 95.9779293560851,285.266793178883 97.9251152475916))"
"MULTILINESTRING ((284.689056705579 95.9779293560851,282.532577134894 89.3707696745697))"
"MULTILINESTRING ((182.290199260319 171.669193120098,185.38257623875 188.865115675092))"
"MULTILINESTRING ((185.38257623875 188.865115675092,185.831926829098 189.400056854077))"
"MULTILINESTRING ((185.831926829098 189.400056854077,187.761412535289 189.707945798959))"
"MULTILINESTRING ((185.831926829098 189.400056854077,185.510962121706 190.362950976251))"
"MULTILINESTRING ((185.510962121706 190.362950976251,187.736317426285 202.687995740072))"
"MULTILINESTRING ((187.736317426285 202.687995740072,188.463837429705 203.415515743492))"
"MULTILINESTRING ((188.463837429705 203.415515743492,190.036570530821 203.467234629082))"
"MULTILINESTRING ((188.463837429705 203.415515743492,188.078679780836 204.485398101463))"
"MULTILINESTRING ((188.078679780836 204.485398101463,191.245531560429 222.502217009687))"
"MULTILINESTRING ((191.245531560429 222.502217009687,191.887460975211 222.930169952875))"
"MULTILINESTRING ((191.887460975211 222.930169952875,193.503477952584 222.372714163385))"
"MULTILINESTRING ((188.078679780836 204.485398101463,187.895512175392 203.523768172885))"
"MULTILINESTRING ((187.895512175392 203.523768172885,187.736317426285 202.687995740072))"
"MULTILINESTRING ((185.510962121706 190.362950976251,185.431371197507 189.434390193928))"
"MULTILINESTRING ((185.431371197507 189.434390193928,185.38257623875 188.865115675092))"
"MULTILINESTRING ((216.160259658091 165.195826918524,220.66729640462 189.400056854077))"
"MULTILINESTRING ((220.66729640462 189.400056854077,221.095249347808 189.828009797265))"
"MULTILINESTRING ((221.095249347808 189.828009797265,222.877392787758 189.518349299332))"
"MULTILINESTRING ((250.450140876468 158.966227645043,254.732350682403 182.980762706254))"
"MULTILINESTRING ((254.732350682403 182.980762706254,255.331484802867 183.579896826717))"
"MULTILINESTRING ((255.331484802867 183.579896826717,256.842251435344 183.234579597386))"
"MULTILINESTRING ((318.610082492618 146.574742133663,322.006553351594 164.022447323015))"
"MULTILINESTRING ((322.006553351594 164.022447323015,321.749781585681 165.049534386667))"
"MULTILINESTRING ((321.749781585681 165.049534386667,320.451877060429 166.184437238011))"
"MULTILINESTRING ((208.684740529914 166.604258058615,208.95559267224 169.041927339543))"
"MULTILINESTRING ((202.103033471411 167.823092699079,202.698908184526 169.908654194984))"
"MULTILINESTRING ((192.609665882911 169.827398552286,192.880518025236 171.5879374774))"
"MULTILINESTRING ((213.546536484653 158.1807564323,205.962676499545 153.413758727376))"
"MULTILINESTRING ((276.953023002994 154.131516904538,277.467642073412 156.460845328535))"
"MULTILINESTRING ((258.169426932738 157.74739300458,258.751759038737 159.575644965275))"
"MULTILINESTRING ((311.053307721743 147.956088059522,311.432500720999 150.556268625844))"
"MULTILINESTRING ((334.848325820926 141.993267075901,338.068162250628 152.671711944027))"
"MULTILINESTRING ((342.065878017984 133.113390660098,345.641126296678 133.005049803168))"
"MULTILINESTRING ((320.687031776764 142.315425848424,318.327170061565 144.612073558702))"
"MULTILINESTRING ((318.327170061565 144.612073558702,316.767313971223 146.130145526721))"
"MULTILINESTRING ((290.672373792531 132.690385239452,295.481749725503 131.834479353075))"
"MULTILINESTRING ((260.514007946601 146.355914290093,265.234970777544 147.005582602386))"
"MULTILINESTRING ((308.879096819295 133.945379534567,317.19376071745 136.749192122268))"
"MULTILINESTRING ((308.408348581788 137.925341906218,317.19376071745 136.749192122268))"
